% Model,shear weak dynamic strain gradient.mph
% Version,COMSOL 6.2.0.290
% Date,"May 26 2024, 21:32"
% Dimension,1
% Nodes,50
% Expressions,1
% Description,Global
% Time (s),State variable load
0,0.0012075808571398751
0.016000967999999997,18.17346159584211
0.021250604999999995,22.946500330403218
0.029999999999999992,28.490226386354085
0.04181168324999998,32.938585732842824
0.05160839943749998,35.902104319388826
0.06839160056249999,40.107188927817205
0.071293700421875,40.75593161609833
0.08,42.58993260019031
0.09741259915625,45.69880623245896
0.11,47.53900292529428
0.12,48.716331010488574
0.13,49.692790718370496
0.14,50.52661937379971
0.15,51.16720672420977
0.16,51.60021769317493
0.17,51.80242972551345
0.18,51.707232528091666
0.19,51.27635173663792
0.2,50.482608538041255
0.20999999999999994,47.1802118687614
0.2206249999999999,42.77809192878651
0.22999999999999987,39.58317897589864
0.24,35.50747350295205
0.25,32.96290342828647
0.26,30.800968797611464
0.27,28.63932321641904
0.28,26.61299133765666
0.29,24.7019593294519
0.3,22.975962528688193
0.31,21.43504012026468
0.32,20.18110418840502
0.33,19.14063974056899
0.34,18.27728418855678
0.35000000000000003,17.576485435176785
0.36,17.02683882980708
0.37,16.61722885213165
0.38,16.302624820275017
0.39,16.069531029378002
0.4,15.895164013088896
0.41000000000000003,15.723288847415185
0.42,15.519029508451164
0.43,15.229141541911218
0.44,14.808233112463206
0.45,14.030093398873392
0.46,13.321285435954701
0.47000000000000003,12.785339261584797
0.48,12.39690858529315
0.49,12.229181135018015
0.5,12.18505028405626
